courseCode,university,campus,faculty,major,subTrack,jointCode,year,round,quotaSeats,applicants,passedRound1,passedRound2,maxScoreR1,minScoreR1,maxScoreR2,minScoreR2
10010121300501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,,0,2568,r3_admission,80,460,80,,89.0164,74.9664,,
10010121300501A,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาเขตหลัก,คณะวิศวกรรมศาสตร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,,0,2567,r3_admission,65,579,65,65,90.4218,72.4888,90.4218,72.2942
